[2025-09-17 21:32:42] iter 280, accuracy: 0.8575600932320933
[2025-09-17 21:32:42] iter 281, accuracy: 0.6215003582028449
[2025-09-17 21:32:42] iter 282, accuracy: 0.6925777575973792
[2025-09-17 21:32:42] iter 283, accuracy: 0.6293267606498969
[2025-09-17 21:32:42] iter 284, accuracy: 0.8072656524325135
[2025-09-17 21:32:43] iter 285, accuracy: 0.8684596681769006
[2025-09-17 21:32:43] iter 286, accuracy: 0.6186358526381744
[2025-09-17 21:32:43] iter 287, accuracy: 0.8739502470325415
[2025-09-17 21:32:43] iter 288, accuracy: 0.6609839936113326
[2025-09-17 21:32:43] iter 289, accuracy: 0.8916479517866784
[2025-09-17 21:32:43] iter 290, accuracy: 0.7475039950221314
[2025-09-17 21:32:43] iter 291, accuracy: 0.9485587402322025
[2025-09-17 21:32:43] iter 292, accuracy: 0.7701121020020769
[2025-09-17 21:32:43] iter 293, accuracy: 0.6071135787747799
[2025-09-17 21:32:43] iter 294, accuracy: 0.6793028021626647
[2025-09-17 21:32:43] iter 295, accuracy: 0.9736346059727959
[2025-09-17 21:32:43] iter 296, accuracy: 0.6692332920884327
[2025-09-17 21:32:43] iter 297, accuracy: 0.5842355800418457
[2025-09-17 21:32:43] iter 298, accuracy: 0.6273446648192996
[2025-09-17 21:32:43] iter 299, accuracy: 0.8058632132390964
[2025-09-17 21:32:43] iter 300, accuracy: 0.8386734571119216
[2025-09-17 21:32:43] iter 301, accuracy: 0.6495986477764264
[2025-09-17 21:32:43] iter 302, accuracy: 0.8045095586426274
[2025-09-17 21:32:43] iter 303, accuracy: 0.7589689032988
[2025-09-17 21:32:43] iter 304, accuracy: 0.7342418510273778
[2025-09-17 21:32:43] iter 305, accuracy: 0.465795902252856
[2025-09-17 21:32:43] iter 306, accuracy: 0.8030085559304337
[2025-09-17 21:32:43] iter 307, accuracy: 0.8414958701345516
[2025-09-17 21:32:43] iter 308, accuracy: 0.9385894293456771
[2025-09-17 21:32:43] iter 309, accuracy: 0.7487796179479747
[2025-09-17 21:32:43] iter 310, accuracy: 0.8564437251645701
[2025-09-17 21:32:44] iter 311, accuracy: 0.8958793839596215
[2025-09-17 21:32:44] iter 312, accuracy: 0.8990604119466835
[2025-09-17 21:32:44] iter 313, accuracy: 0.767696832021413
[2025-09-17 21:32:44] iter 314, accuracy: 0.8054724507604082
[2025-09-17 21:32:44] iter 315, accuracy: 0.8169622734655034
[2025-09-17 21:32:44] iter 316, accuracy: 0.6165805787031052
